CRIM_Model_ID,Model_Phrase_Number,Start_Measure,Stop_Measure,Part,Text,Translation,,,,,,,
CRIM_Model_0020,1,1,11,,Suzanne un jour d'amour sollicitée,"One day, Susanne's love was solicited",,,,,,,
CRIM_Model_0020,2,9,15,,Par deux vieillards convoitant sa beauté,By two old men coveting her beauty.,,,,,,,
CRIM_Model_0020,3,14,24,,Fut en son cœur triste et déconfortée,"She became sad and discomforted at heart,",,,,,,,
CRIM_Model_0020,4,22,28,,Voyant l'effort fait à sa chasteté.,Seeing the attempt on her chastity.,,,,,,,
CRIM_Model_0020,5,27,32,,Elle leur dit : si par déloyauté,She said to them: 'If disloyally,,,,,,,
CRIM_Model_0020,6,31,36,,"De ce corps mien vous avez jouissance,","From my body you take pleasure,",,,,,,,
CRIM_Model_0020,7,36,41,,"C'est fait de moi ! Si je fais résistance,","This is done to me! If I resist,",,,,,,,
CRIM_Model_0020,8,40,44,,Vous me ferez mourir en déshonneur :,You would make me die in disgrace:,,,,,,,
CRIM_Model_0020,9,44,51,,Mais j'aime mieux périr en innocence,"But I would rather perish in innocence,",,,,,,,
CRIM_Model_0020,10,50,58,,Que d'offenser par péché le Seigneur.,Than offend the Lord by sin.,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
